cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__max_iter,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
36,0.9240896939474676,Yes,0.9498035601185458,0.9293147797660234,1.5689412117004395,0.9351946790188345,relu,0.05,512,"(20, 15, 10)",invscaling,0.01,2000,8.381692413704327e-06,193,0.55,1.3239632888945264e-05,0.005,54,37
38,0.9233501098011306,Yes,0.9515718641773968,0.9288288908764827,1.6620018005371093,0.9342598245618454,relu,0.05,512,"(64, 40, 30, 20)",invscaling,0.001,2000,9.220368833005387e-06,165,0.4,9.16834164144442e-06,0.005,64,38
4,0.9307462576676959,Yes,0.9663327555025794,0.9287281728872852,2.6627880096435548,0.9364851196983521,relu,0.15,256,"(64, 40, 30, 20)",constant,0.001,2000,1.5099700976862256e-05,198,0.5,1.3745575839362895e-05,0,40,39
50,0.920661922511081,Yes,0.935689726585261,0.9287200876077376,1.2535420417785645,0.9347335629742887,relu,0.01,1024,"(20, 15, 10)",constant,0.01,3000,7.196747387983491e-06,195,0.4,2.800216930225881e-06,0.0025,60,40
28,0.9251974372341991,Yes,0.9580758615652227,0.9285011225117573,1.2441848278045655,0.9370324711486993,relu,0.1,700,"(64, 40, 30, 20)",adaptive,0.01,3000,1.191948194791873e-06,202,0.4,4.253162363790869e-06,0.0075,29,41
51,0.9202364062008321,Yes,0.9455687295707068,0.9284421227260976,1.5366532325744628,0.9388473525747031,relu,0.01,1024,"(64, 40, 30, 20)",adaptive,0.01,3000,5.452487599241168e-05,171,0.5,8.534852819566888e-06,0.01,8,42
37,0.9237238716979037,Yes,0.9383279936393675,0.9283506209319471,1.615442943572998,0.9356065984353895,relu,0.05,256,"(64, 40, 30, 20)",invscaling,0.001,3000,0.0006292369268111736,276,0.45,2.3039133025435845e-06,0.005,49,43
18,0.9273888921861302,Yes,0.9542237578027128,0.9280341586863222,1.477348756790161,0.9386893585199345,relu,0.1,256,"(64, 40, 30, 20)",invscaling,0.01,2000,0.0002145066437415384,230,0.45,6.496938715942333e-05,0.005,12,44
27,0.9253401211495614,Yes,0.9495597674403088,0.9277702232531793,1.1180137634277343,0.9361727398694579,relu,0.01,512,"(20, 15, 10)",adaptive,0.01,2000,0.00011521168178268358,290,0.5,1.1593831134486483e-05,0.01,45,45
56,0.9177372769433209,Yes,0.932680088250909,0.9277498961509298,2.1635156631469727,0.9378248465098544,relu,0.05,256,"(64, 40, 30, 20)",adaptive,0.0001,2000,1.4761364011262928e-06,145,0.55,4.224759763199934e-05,0.01,17,46
32,0.9247288285748493,Yes,0.9518227830212918,0.9276796417137099,1.73303165435791,0.9366592349767154,relu,0.01,512,"(64, 40, 30, 20)",invscaling,0.001,2000,5.130781383387441e-05,163,0.45,1.698300171255907e-05,0.0025,36,47
35,0.9242488216115101,Yes,0.9504222348403618,0.9275694656861722,1.4931734085083008,0.937797377172832,relu,0.1,700,"(64, 40, 30, 20)",adaptive,0.001,3000,1.0655473946580738e-05,273,0.45,7.844525502343435e-05,0.0075,18,48
40,0.9225842025534362,Yes,0.9503788774810841,0.9272924597596381,0.9527496337890625,0.9371758834664383,relu,0.01,700,"(20, 15, 10)",constant,0.01,2000,0.00018076884714446042,290,0.4,1.6862781164902365e-06,0.01,28,49
20,0.9270284311245083,Yes,0.9522020941094573,0.9272233336097534,1.2164904594421386,0.9420291516282046,relu,0.15,256,"(20, 15, 10)",invscaling,0.001,3000,8.200518402245828e-06,192,0.45,2.335963502626159e-05,0.0075,1,50
11,0.9287981073586644,Yes,0.9534611845657414,0.9271147692219103,1.5241968154907226,0.9387065554000046,relu,0.1,256,"(64, 40, 30, 20)",adaptive,0.01,3000,0.00034672361874164565,287,0.4,1.9233720128877178e-05,0.005,11,51
42,0.9224730787950897,Yes,0.9355864783513078,0.9268307731884314,1.3493839740753173,0.9349517424847125,relu,0.01,1024,"(20, 15, 10)",invscaling,0.01,3000,2.0156477059365003e-06,238,0.4,1.0235832435175112e-06,0.0025,57,52
61,0.9150195681705554,Yes,0.9454044996676607,0.9267988697767066,1.399144220352173,0.9353241434628081,relu,0.15,1250,"(20, 15, 10)",invscaling,0.001,2000,0.0002429733179622299,202,0.5,7.5499285461830315e-06,0.0025,52,53
31,0.9249181365983453,Yes,0.9625797303383353,0.9265562166864273,1.2958240032196044,0.937789564741648,relu,0.15,1024,"(64, 40, 30, 20)",constant,0.01,3000,0.00020593966671438792,170,0.45,1.3735455895745765e-06,0.005,19,54
45,0.9223745031334234,Yes,0.9407688948739961,0.9265262888831548,1.3710058689117433,0.9345199043672077,relu,0.05,700,"(20, 15, 10)",constant,0.001,2000,4.028192310906237e-05,165,0.5,4.7551598126985216e-05,0.01,62,55
10,0.9297778845934837,Yes,0.9558499362587527,0.9261439404358649,2.446963739395142,0.9376601341004834,relu,0.05,512,"(64, 40, 30, 20)",invscaling,0.01,3000,2.1115020340251205e-05,214,0.45,8.655733727279395e-05,0,20,56
12,0.9283869894963621,Yes,0.9568616727371634,0.9253795283057606,1.724089765548706,0.9369175212723182,relu,0.01,1250,"(64, 40, 30, 20)",invscaling,0.01,2000,2.6100256506134757e-05,240,0.5,3.323304206226791e-05,0.0025,32,57
63,0.9142503765011087,Yes,0.9261058347228698,0.9252249055873023,1.7673458576202392,0.9362759424518348,relu,0.01,256,"(64, 40, 30, 20)",constant,0.0001,3000,7.593893885357788e-06,202,0.5,2.4985313794028217e-06,0.005,43,58
3,0.9312050067445151,Yes,0.9646557665509783,0.9251811751349741,2.1292462825775145,0.9398476196483301,relu,0.1,700,"(20, 15, 10)",invscaling,0.01,2000,7.248001387147506e-05,294,0.55,9.89430359050518e-05,0,5,59
48,0.921065069649489,Yes,0.937601386895435,0.92460689970401,1.3210809707641602,0.9374643786131512,relu,0.01,256,"(20, 15, 10)",adaptive,0.001,3000,2.5856088907313377e-06,290,0.45,3.280071082578534e-06,0.0075,22,60
23,0.9259992096275438,Yes,0.9518205892167685,0.9243930275255133,1.4911064624786377,0.9366015354170318,relu,0.1,1024,"(64, 40, 30, 20)",adaptive,0.01,3000,6.251373574521747e-05,242,0.45,2.051110418843397e-06,0.005,38,61
46,0.9223638598394214,Yes,0.9388788357771766,0.9243174690496039,1.7209140300750732,0.9348755387234922,relu,0.1,256,"(64, 40, 30, 20)",constant,0.001,2000,8.979064194712971e-05,167,0.4,1.7643967683381542e-05,0.0025,59,62
73,0.9079670385206526,Yes,0.9251528923945416,0.9237550002656373,2.7338639736175536,0.9347288552034776,relu,0.15,1250,"(64, 40, 30, 20)",adaptive,0.0001,3000,1.0879507025215045e-06,254,0.5,1.352124539002248e-05,0.0025,61,63
7,0.9303938603086429,Yes,0.9562212686961344,0.9235352278601222,1.146198606491089,0.9402569937659114,relu,0.01,256,"(20, 15, 10)",adaptive,0.01,2000,0.00018425181176975783,224,0.45,4.074640851692724e-05,0.0075,2,64
55,0.9185349537040561,Yes,0.9343756138367829,0.9232691280819929,2.445184087753296,0.936790046466052,relu,0.1,1250,"(20, 15, 10)",adaptive,0.001,3000,5.345585169551462e-05,214,0.55,1.0247077310056464e-06,0,34,65
25,0.9257935854583828,Yes,0.9265018828469719,0.923094734000479,1.5655073165893554,0.9380538689529331,relu,0.1,700,"(20, 15, 10)",invscaling,0.001,2000,0.0003515680375645845,276,0.5,2.6171101019856906e-05,0.01,15,66
30,0.9249456569692558,Yes,0.9606961202173963,0.9228793612175689,2.184269380569458,0.9394102534039757,relu,0.15,700,"(20, 15, 10)",invscaling,0.01,3000,1.1719079872167657e-05,268,0.4,1.9741504223018505e-05,0,6,67
