cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__solver,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
65,0.9164112626867931,No,0.9192072738755899,0.9226901566241601,6.005325651168823,0.938669799692647,logistic,1e-06,1024,"(64, 32)",invscaling,0.001,adam,7.562632622090491e-05,202,0.4,4.253162363790869e-06,0.0025,if_binary,44,15
69,0.9125759004419696,No,0.9195529415392376,0.9224515948391008,9.316668176651001,0.9372289744902295,logistic,1e-05,1024,"(64, 32)",constant,0.001,adam,0.0008629549674093321,207,0.5,2.5061892031318946e-06,0,,55,16
35,0.9244778880700448,No,0.9173260333465523,0.9223300104277871,7.571759843826294,0.9417170163180282,relu,1e-06,256,"(64, 32)",invscaling,0.0001,adam,0.000317124286626192,238,0.55,5.546719086332954e-06,0.005,,9,17
45,0.9221461328030525,No,0.9179581169747855,0.921990131434693,8.815750980377198,0.9408000621247394,logistic,1e-05,1024,"(72, 36)",constant,0.001,adam,0.000471984512893575,284,0.6,4.752931196946967e-05,0.0025,if_binary,20,18
75,0.9068178032371451,No,0.916022509483094,0.919761656372453,7.803638744354248,0.9316976793491563,logistic,0.0001,256,"(64, 32)",constant,0.0001,adam,6.0668634533118787e-05,192,0.5,1.2181439742076736e-05,0.0025,,79,19
77,0.9049070063926281,No,0.9166943793463037,0.9182327400156032,9.555166244506836,0.9331735306189808,tanh,1e-05,1024,"(64, 32)",adaptive,0.0001,adam,0.0002984079658227361,167,0.45,1.3425491193598893e-05,0,if_binary,76,20
87,0.890105909839388,No,0.9166943793463037,0.9177960524795691,6.977531862258911,0.9275562115317865,logistic,1e-06,2046,"(64, 32)",constant,0.001,adam,0.0006767487390617128,173,0.4,2.091196066971307e-05,0,if_binary,86,21
81,0.9018610523975024,No,0.9133322002046922,0.9168704959845921,6.2839102268219,0.9308299864942651,relu,1e-05,1024,"(64, 32)",constant,0.0001,adam,0.0002476567171248092,142,0.4,6.768753263144206e-05,0.0025,,82,22
76,0.9050714194652798,No,0.915815250433377,0.9162154013417981,5.554389238357544,0.9339022838233797,tanh,0.0001,512,"(72, 36)",constant,0.0001,adam,0.0002333068761743975,155,0.45,1.1298547638502784e-06,0.005,,73,23
63,0.917001164773162,No,0.911813458449353,0.9162091479349606,7.795354318618775,0.9375770863924172,tanh,1e-06,2046,"(72, 36)",adaptive,0.0001,adam,2.1050258247483843e-05,243,0.55,1.4500174972770088e-05,0.0025,if_binary,52,24
60,0.9179931707470871,No,0.9101749937897666,0.9140934346984414,5.5428125858306885,0.9391677168482412,logistic,1e-05,2046,"(72, 36)",adaptive,0.01,adam,4.4300218067679825e-05,235,0.4,6.422030179057419e-06,0.0025,if_binary,39,25
84,0.8989806402305499,No,0.9123025708703842,0.9139707871298098,9.441068363189697,0.9286163962462662,tanh,1e-06,1024,"(64, 32)",invscaling,0.0001,adam,9.16834164144442e-05,195,0.5,6.946160292694271e-05,0,if_binary,85,26
78,0.9046349677193299,No,0.9090112111067952,0.9136887533553915,8.972999715805054,0.9319064818881071,logistic,1e-05,256,"(72, 36)",invscaling,0.0001,adam,1.6644221009213272e-05,248,0.55,6.231241469627603e-06,0,,78,27
59,0.9185218084197494,No,0.9103073919588153,0.9135075683346986,8.800010251998902,0.9387897083401932,relu,1e-05,512,"(72, 36)",invscaling,0.0001,adam,1.1876716161269188e-05,209,0.5,1.7952338368491252e-06,0,,42,28
66,0.9131255402274672,No,0.9120695020772057,0.9134062109049429,8.728187847137452,0.9380703682411203,tanh,0.0001,256,"(64, 32)",constant,0.0001,adam,0.000775410111091991,222,0.4,3.035076657865726e-06,0,,48,29
73,0.9112239211853751,No,0.9093201148614884,0.9124833059878958,5.779491233825683,0.9358358334066667,relu,1e-05,256,"(72, 36)",adaptive,0.0001,adam,5.668627768197327e-05,165,0.4,8.706203127734154e-05,0.005,if_binary,64,30
96,0.7252255051720214,No,0.9100860313723969,0.9122075847670483,5.924166250228882,0.7443035462898209,logistic,0.0001,256,"(72, 36)",constant,0.0001,adam,2.1430930146936957e-05,196,0.4,5.492786568761938e-05,0.005,if_binary,96,31
71,0.9120688665106804,No,0.9086980697328448,0.912009498570969,7.597856903076172,0.9345594577852054,tanh,1e-05,1024,"(72, 36)",adaptive,0.0001,adam,1.9777612333286097e-05,220,0.5,1.656260589333595e-05,0.0025,,71,32
47,0.9217777132852968,No,0.9086998537081213,0.9101012909791811,7.3450095653533936,0.9411174774802354,logistic,1e-05,2046,"(64, 32)",constant,0.01,adam,0.00031749883464243805,238,0.4,5.694528519683688e-06,0,,16,33
83,0.8999507771199541,No,0.9077490112639367,0.9099828290161215,8.866556406021118,0.9255421179354231,relu,1e-05,2046,"(72, 36)",adaptive,0.0001,adam,2.3594456271097806e-05,222,0.5,1.8514719099831296e-05,0.0025,,87,34
91,0.8819863294859734,No,0.9077216665518725,0.9099828290161215,10.60329179763794,0.9000660171341922,logistic,1e-06,512,"(72, 36)",invscaling,0.0001,adam,0.00010285085651077817,239,0.6,1.1619270574317205e-05,0,,92,35
57,0.9200853960336802,No,0.9071606129150928,0.9097056926942901,5.952063083648682,0.9405073429050136,logistic,1e-05,512,"(64, 32)",invscaling,0.001,adam,0.0001698300171255907,225,0.45,3.2234972061594725e-06,0.0025,,24,36
