cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
60,0.9184727143990754,No,0.9206796717327261,0.9224515948391008,5.688469457626343,0.9397690369160451,logistic,1e-06,512,"(64, 32, 16)",constant,0.001,0.00043143714682217525,196,0.4,1.8536616154169724e-06,0.005,29,11
65,0.917347786627273,No,0.9171556074451637,0.9208908155422643,8.340653657913208,0.9411666683093595,tanh,1e-05,2046,"(64, 32, 16)",constant,0.001,1.9689756864157547e-05,158,0.4,1.2792946789275626e-06,0,17,12
70,0.9144001717053826,No,0.9190821718964705,0.9199598793513837,6.3753362655639645,0.9371587570988833,tanh,1e-06,512,"(64, 32, 16)",adaptive,0.0001,0.00039628830111400115,271,0.45,7.131407448876707e-05,0.0025,63,13
67,0.9163658538693114,No,0.9177196107737273,0.919936511428477,6.1627668857574465,0.9379389245065944,tanh,1e-05,256,"(64, 32, 16)",adaptive,0.0001,8.431736905057533e-06,290,0.45,3.280071082578534e-06,0.0025,56,14
80,0.9001052348004149,No,0.9169007124234211,0.9195836264134848,8.561976146697997,0.9287843857172188,relu,1e-05,2046,"(64, 32, 16)",constant,0.0001,0.0003317602681063428,273,0.45,6.812054524930614e-06,0,83,15
68,0.9162646787347379,No,0.9186317107397255,0.9193857997531366,5.78568754196167,0.9409822708404845,logistic,1e-05,256,"(64, 32, 16)",constant,0.001,0.0003149668148735196,203,0.45,3.081103667483713e-06,0.005,19,16
85,0.8919072189836156,No,0.9162053230221285,0.9188100917977926,6.54754867553711,0.9284565026277722,tanh,1e-05,2046,"(64, 32, 16)",constant,0.0001,0.00023764655984734835,280,0.45,6.2130264703103945e-06,0.005,84,17
69,0.9146518910193728,No,0.9172969156708519,0.9177960524795691,8.593715238571168,0.9372594830546017,tanh,1e-05,512,"(64, 32, 16)",invscaling,0.0001,5.938358080634594e-06,209,0.5,1.7952338368491252e-06,0,62,18
72,0.9139901981061715,No,0.9134670608281888,0.91759856400095,8.494948673248292,0.9380141867345486,tanh,1e-05,512,"(64, 32, 16)",adaptive,0.0001,1.4044575699063123e-05,300,0.55,2.981935017114935e-06,0,55,19
88,0.7250746205271256,No,0.908024387349716,0.9139707871298098,5.906479215621948,0.7441445396059998,logistic,1e-06,2046,"(64, 32, 16)",invscaling,0.001,5.216318580651044e-06,238,0.4,1.0235832435175112e-06,0.0025,89,20
77,0.904632161130673,No,0.9054794438858444,0.9085913134251983,10.839832162857055,0.932417305042242,tanh,1e-06,2046,"(64, 32, 16)",constant,0.0001,0.0002095937643755632,240,0.55,5.918413104745487e-06,0,77,21
89,0.7237719158046891,No,0.9054213651110089,0.908315844368272,6.446597576141357,0.8641053836957395,relu,1e-05,2046,"(64, 32, 16)",invscaling,0.0001,5.788677667540796e-06,209,0.4,1.1717824992481363e-05,0.0025,87,22
82,0.8974090022401982,No,0.884575747585981,0.8895544395791366,8.976672077178955,0.9298960608588078,tanh,1e-06,2046,"(64, 32, 16)",constant,0.0001,1.3432233839418472e-05,185,0.45,1.1965373635710235e-06,0.0025,81,23
81,0.898131800068723,No,0.8826099628284291,0.8829603767487065,8.193547439575195,0.9287999924319891,tanh,1e-05,2046,"(64, 32, 16)",constant,0.0001,1.6552733770711008e-05,294,0.4,3.626828454360087e-06,0,82,24
79,0.9010910387994672,No,0.867814015200018,0.8764577833515536,5.59368667602539,0.9331154999092212,tanh,1e-06,512,"(64, 32, 16)",adaptive,0.0001,2.8343138840986633e-05,165,0.4,8.706203127734154e-05,0.005,76,25
97,0.5289505889455255,No,0.8596930027972903,0.8620177192322762,8.911371231079102,0.5124822867593494,logistic,1e-06,512,"(64, 32, 16)",adaptive,0.0001,0.00025143453255043797,217,0.6,2.8955758805786217e-05,0,97,26
92,0.6916741834131344,No,0.019684539599799742,0.019791266196888258,7.207356357574463,0.6702970491969771,logistic,1e-05,512,"(64, 32, 16)",invscaling,0.0001,1.7936279805990707e-05,231,0.55,8.460515196707018e-06,0.0025,92,27
93,0.6812860282349471,No,0.019684539599799742,0.019791266196888258,6.4001100063323975,0.6442409578883833,logistic,1e-05,2046,"(64, 32, 16)",constant,0.0001,0.00011665343808719876,155,0.45,1.1298547638502784e-06,0.005,93,28
93,0.6812860282349471,No,0.019684539599799742,0.019791266196888258,6.743159389495849,0.6442409578883833,logistic,1e-06,2046,"(64, 32, 16)",invscaling,0.0001,0.00048406044595642145,286,0.55,1.4153670931701289e-06,0.005,93,29
95,0.5411422169242387,No,0.019684539599799742,0.019791266196888258,8.396463012695312,0.5599619897861141,logistic,1e-06,512,"(64, 32, 16)",constant,0.0001,6.741468328710733e-06,191,0.55,3.1883397351001865e-06,0.0025,95,30
96,0.5388331798001115,No,0.019684539599799742,0.019791266196888258,7.796355199813843,0.554876100742441,logistic,1e-05,256,"(64, 32, 16)",invscaling,0.0001,7.124883599450787e-05,200,0.5,1.393183744173663e-05,0,96,31
98,0.5158298944270278,No,0.019684539599799742,0.019791266196888258,6.915376663208008,0.4858359539790792,logistic,1e-05,1024,"(64, 32, 16)",adaptive,0.0001,0.0004417643877532478,200,0.45,2.803484322567601e-06,0,98,32
100,0.3602498025301439,No,0.019684539599799742,0.019791266196888258,6.751658773422241,0.3722818747441903,logistic,1e-06,256,"(64, 32, 16)",invscaling,0.0001,0.0002447488310712675,229,0.45,3.3219191364984605e-06,0.005,100,33
19,0.9284873555060267,Yes,0.976090252110272,0.9357527762118145,9.49279294013977,0.9415030378542314,logistic,1e-06,256,"(64, 32, 16)",adaptive,0.01,0.0001415407074849902,270,0.55,5.945287330479984e-05,0,11,34
